MUNICIPIO,Frecuencia,Porcentaje
ZONA 1,868,7.31
MIXCO,562,4.74
VILLA NUEVA,446,3.76
QUETZALTENANGO,281,2.37
ZONA 7,236,1.99
RETALHULEU,204,1.72
MAZATENANGO,200,1.69
CHIMALTENANGO,198,1.67
ESCUINTLA,189,1.59
HUEHUETENANGO,177,1.49
PUERTO BARRIOS,173,1.46
SAN MIGUEL PETAPA,160,1.35
ZONA 12,149,1.26
AMATITLAN,146,1.23
ANTIGUA GUATEMALA,145,1.22
SANTA LUCIA COTZUMALGUAPA,136,1.15
ZONA 18,134,1.13
JUTIAPA,133,1.12
COBAN,132,1.11
MORALES,130,1.1
ZONA 2,118,0.99
SAN JUAN SACATEPEQUEZ,117,0.99
JALAPA,100,0.84
MALACATAN,97,0.82
COATEPEQUE,96,0.81
ZONA 6,94,0.79
SAN PEDRO SACATEPEQUEZ,92,0.78
VILLA CANALES,89,0.75
LA LIBERTAD,87,0.73
SAN MARCOS,84,0.71
ZONA 11,80,0.67
CHIQUIMULA,79,0.67
FLORES,72,0.61
TIQUISATE,71,0.6
CHINAUTLA,71,0.6
SAN BENITO,70,0.59
SANTA CRUZ DEL QUICHE,68,0.57
SAN JOSE PINULA,67,0.56
ZACAPA,67,0.56
ZONA 19,65,0.55
SAN JOSE,65,0.55
FRAIJANES,62,0.52
IXCAN,61,0.51
ZONA 3,61,0.51
ZONA 13,61,0.51
LA DEMOCRACIA,60,0.51
SAN PEDRO CARCHA,57,0.48
ZONA 10,56,0.47
SAYAXCHE,55,0.46
SOLOLA,54,0.46
NUEVA CONCEPCION,52,0.44
TOTONICAPAN,51,0.43
SALAMA,48,0.4
LIVINGSTON,46,0.39
LOS AMATES,46,0.39
PALIN,46,0.39
CIUDAD VIEJA,46,0.39
CHIQUIMULILLA,45,0.38
SAN AGUSTIN ACASAGUASTLAN,45,0.38
SAN CRISTOBAL VERAPAZ,45,0.38
ZONA 5,45,0.38
COMITANCILLO,44,0.37
SANTA CATARINA PINULA,44,0.37
SAN LUCAS SACATEPEQUEZ,40,0.34
ZONA 21,40,0.34
PALENCIA,39,0.33
ESQUIPULAS,39,0.33
ZONA 9,38,0.32
JOCOTENANGO,38,0.32
POPTUN,38,0.32
SAN LUIS,38,0.32
SAN ANTONIO SUCHITEPEQUEZ,36,0.3
SANTA CRUZ BARILLAS,36,0.3
JALPATAGUA,36,0.3
NUEVO PROGRESO,35,0.29
BARBERENA,35,0.29
TACANA,35,0.29
SUMPANGO,35,0.29
MASAGUA,34,0.29
DOLORES,34,0.29
CUILAPA,33,0.28
SAN CRISTOBAL TOTONICAPAN,33,0.28
SAN ANDRES VILLA SECA,33,0.28
SAN JUAN OSTUNCALCO,33,0.28
LA GOMERA,32,0.27
EL TUMBADOR,32,0.27
PANAJACHEL,32,0.27
SAN MARTIN JILOTEPEQUE,32,0.27
JACALTENANGO,32,0.27
LAS CRUCES,32,0.27
SANARATE,32,0.27
TACTIC,31,0.26
GUASTATOYA,31,0.26
SAN JUAN COMALAPA,30,0.25
ZONA 17,30,0.25
QUEZALTEPEQUE,30,0.25
JOCOTAN,30,0.25
SAN LORENZO,29,0.24
RABINAL,29,0.24
SANTA LUCIA MILPAS ALTAS,29,0.24
AYUTLA,28,0.24
TECPAN GUATEMALA,28,0.24
CHIANTLA,28,0.24
PATULUL,28,0.24
ASUNCION MITA,28,0.24
PANZOS,27,0.23
SANTO TOMAS LA UNION,27,0.23
CUYOTENANGO,26,0.22
NEBAJ,26,0.22
FRAY BARTOLOME DE LAS CASAS,26,0.22
CUBULCO,26,0.22
SAN MIGUEL USPANTAN,26,0.22
MOYUTA,25,0.21
MELCHOR DE MENCOS,25,0.21
ZARAGOZA,25,0.21
IPALA,25,0.21
NUEVA SANTA ROSA,25,0.21
MATAQUESCUINTLA,24,0.2
SAN ANDRES,24,0.2
SAN PABLO,24,0.2
SAN MIGUEL CHICAJ,24,0.2
SAN FELIPE,24,0.2
TECULUTAN,23,0.19
SAN RAYMUNDO,23,0.19
SAN SEBASTIAN,23,0.19
SAN JUAN CHAMELCO,23,0.19
MALACATANCITO,23,0.19
LA TINTA,23,0.19
NUEVO SAN CARLOS,23,0.19
PAJAPITA,22,0.19
SAN MIGUEL IXTAHUACAN,22,0.19
ZONA 14,22,0.19
AGUACATAN,22,0.19
PATZUN,21,0.18
COMAPA,21,0.18
SANTO TOMAS CHICHICASTENANGO,21,0.18
CONCEPCION TUTUAPA,21,0.18
CATARINA,20,0.17
CHISEC,20,0.17
EL ASINTAL,20,0.17
MONJAS,20,0.17
ATESCATEMPA,20,0.17
ZONA 16,20,0.17
ZONA 15,20,0.17
SAN PEDRO AYAMPUC,20,0.17
SAN ILDEFONSO IXTAHUACAN,19,0.16
SANTA MARIA CAHABON,19,0.16
YUPILTEPEQUE,19,0.16
SAN PEDRO SOLOMA,19,0.16
SAN JOSE DEL GOLFO,19,0.16
TEJUTLA,19,0.16
PURULHA,19,0.16
SANTA EULALIA,19,0.16
CHICAMAN,19,0.16
GUALAN,18,0.15
SANTIAGO SACATEPEQUEZ,18,0.15
LA BLANCA,18,0.15
SIPACAPA,18,0.15
PACHALUN,18,0.15
EL ESTOR,18,0.15
SENAHU,18,0.15
SAN RAFAEL PIE DE LA CUESTA,17,0.14
SAN FRANCISCO ZAPOTITLAN,17,0.14
SAN LUCAS TOLIMAN,17,0.14
SAN ANDRES ITZAPA,17,0.14
SAN PEDRO YEPOCAPA,17,0.14
SIQUINALA,17,0.14
SAN MARTIN ZAPOTITLAN,17,0.14
SAN PEDRO NECTA,17,0.14
LA ESPERANZA,17,0.14
COLOMBA COSTA CUCA,17,0.14
QUESADA,17,0.14
SANTA ANA,17,0.14
MOMOSTENANGO,17,0.14
SAN JOSE LA MAQUINA,17,0.14
CHAHAL,16,0.13
CHICACAO,16,0.13
EL CHAL,16,0.13
GUATEMALA,16,0.13
CUILCO,16,0.13
SAN JOSE OJETENAM,15,0.13
SANTA CATARINA MITA,15,0.13
TAXISCO,15,0.13
JOYABAJ,14,0.12
SAN ANTONIO HUISTA,14,0.12
UNION CANTINIL,14,0.12
IZTAPA,14,0.12
CHAMPERICO,14,0.12
EL PROGRESO,14,0.12
LA UNION,13,0.11
GRANADOS,13,0.11
SAN JOSE POAQUIL,13,0.11
SAN BARTOLOME MILPAS ALTAS,13,0.11
SAN MATEO IXTATAN,13,0.11
SAN LUIS JILOTEPEQUE,13,0.11
SANTA BARBARA,13,0.11
PASTORES,13,0.11
CONGUACO,13,0.11
SANTIAGO ATITLAN,13,0.11
SANSARE,13,0.11
SANTA LUCIA UTATLAN,13,0.11
SANTA CATARINA IXTAHUACAN,13,0.11
ORATORIO,12,0.1
SAN ANTONIO LA PAZ,12,0.1
EL TEJAR,12,0.1
GUANAGAZAPA,12,0.1
IXCHIGUAN,12,0.1
SAN PEDRO LA LAGUNA,12,0.1
SAN JOSE ACATEMPA,12,0.1
SAN FRANCISCO,12,0.1
SAN MARTIN SACATEPEQUEZ,12,0.1
CHAJUL,12,0.1
SAN VICENTE PACAYA,12,0.1
EL JICARO,12,0.1
PASACO,12,0.1
RAXRUHA,12,0.1
CUNEN,11,0.09
SAN SEBASTIAN COATAN,11,0.09
AGUA BLANCA,11,0.09
SAN MIGUEL DUENAS,11,0.09
SAN JUAN IXCOY,11,0.09
GENOVA COSTA CUCA,11,0.09
NENTON,11,0.09
PARRAMOS,11,0.09
CONCEPCION LAS MINAS,11,0.09
TODOS SANTOS CUCHUMATAN,11,0.09
TAJUMULCO,10,0.08
LANQUIN,10,0.08
SAN FRANCISCO EL ALTO,10,0.08
SALCAJA,10,0.08
SAMAYAC,10,0.08
COLOTENANGO,10,0.08
SAN CARLOS ALZATATE,10,0.08
ZONA 8,10,0.08
SANTO DOMINGO XENACOJ,10,0.08
SANTO DOMINGO SUCHITEPEQUEZ,9,0.08
CASILLAS,9,0.08
SANTA MARIA IXHUATAN,9,0.08
GUAZACAPAN,9,0.08
SIBINAL,9,0.08
FLORES COSTA CUCA,9,0.08
ALOTENANGO,9,0.08
SAN JUAN COTZAL,9,0.08
CANTEL,9,0.08
SIPACATE,9,0.08
OCOS,9,0.08
ACATENANGO,9,0.08
RIO HONDO,9,0.08
CABRICAN,9,0.08
SAN JERONIMO,8,0.07
SAN MIGUEL TUCURU,8,0.07
SANTA MARIA CHIQUIMULA,8,0.07
RIO BRAVO,8,0.07
SAN GABRIEL,8,0.07
CABAÑAS,8,0.07
SAN CARLOS SIJA,8,0.07
CAMOTAN,8,0.07
ESQUIPULAS PALO GORDO,8,0.07
SAN JOSE EL RODEO,8,0.07
NAHUALA,8,0.07
SAN PEDRO PINULA,8,0.07
SAN MANUEL CHAPARRON,8,0.07
ZAPOTITLAN,8,0.07
PATZICIA,8,0.07
SAN CRISTOBAL ACASAGUASTLAN,7,0.06
SANTA MARIA VISITACION,7,0.06
SAN ANDRES SEMETABAJ,7,0.06
SAN SEBASTIAN HUEHUETENANGO,7,0.06
SANTA MARIA DE JESUS,7,0.06
SAN PABLO JOCOPILAS,7,0.06
CONCEPCION HUISTA,7,0.06
SAN ANDRES SAJCABAJA,7,0.06
MORAZAN,6,0.05
CANILLA,6,0.05
SANTA CRUZ MULUA,6,0.05
SANTIAGO CHIMALTENANGO,6,0.05
EL ADELANTO,6,0.05
LA REFORMA,6,0.05
SAN JUAN LA LAGUNA,6,0.05
ZONA 25,6,0.05
SACAPULAS,6,0.05
SAN ANTONIO AGUAS CALIENTES,6,0.05
SAN MIGUEL POCHUTA,6,0.05
ZONA 4,6,0.05
SANTA APOLONIA,5,0.04
PUEBLO NUEVO,5,0.04
SAN ANDRES XECUL,5,0.04
SANTA CRUZ VERAPAZ,5,0.04
MAGDALENA MILPAS ALTAS,5,0.04
SANTA CLARA LA LAGUNA,5,0.04
EL PALMAR,5,0.04
ZACUALPA,5,0.04
PALESTINA DE LOS ALTOS,5,0.04
HUITAN,5,0.04
SANTA CATARINA BARAHONA,5,0.04
CHUARRANCHO,5,0.04
SAN JUAN ERMITA,5,0.04
RIO BLANCO,5,0.04
SAN RAFAEL LAS FLORES,5,0.04
OLOPA,5,0.04
SANTA ROSA DE LIMA,5,0.04
OLINTEPEQUE,5,0.04
SAN DIEGO,5,0.04
USUMATLAN,5,0.04
SAN JOSE EL IDOLO,4,0.03
PUEBLO NUEVO VIÑAS,4,0.03
SAN JOSE LA ARADA,4,0.03
SAN JUAN TECUACO,4,0.03
EL QUETZAL,4,0.03
SAN CRISTOBAL CUCHO,4,0.03
CONCEPCION CHIQUIRICHAPA,4,0.03
SANTA ANA HUISTA,4,0.03
SANTA CRUZ EL CHOL,4,0.03
SAN RAFAEL PETZAL,4,0.03
TAMAHU,3,0.03
SIBILIA,3,0.03
ZUNILITO,3,0.03
SANTA LUCIA LA REFORMA,3,0.03
HUITE,3,0.03
ESTANZUELA,3,0.03
SAN BERNARDINO,3,0.03
SAN PEDRO JOCOPILAS,3,0.03
TECTITAN,3,0.03
CHINIQUE,3,0.03
SAN RAFAEL LA INDEPENDENCIA,3,0.03
SAN MATEO,3,0.03
SANTA CRUZ NARANJO,3,0.03
SAN JACINTO,3,0.03
SAN ANTONIO ILOTENANGO,3,0.03
SANTA CRUZ BALANYA,3,0.03
ALMOLONGA,3,0.03
SAN PABLO LA LAGUNA,2,0.02
SAN JORGE,2,0.02
SAN MIGUEL SIGUILA,2,0.02
ZONA 24,2,0.02
JEREZ,2,0.02
SAN MIGUEL ACATAN,2,0.02
ZUNIL,2,0.02
SAN BARTOLOME JOCOTENANGO,2,0.02
SAN ANTONIO SACATEPEQUEZ,2,0.02
CAJOLA,1,0.01
SAN BARTOLO AGUAS CALIENTES,1,0.01
SAN MIGUEL PANAM,1,0.01
SAN FRANCISCO LA UNION,1,0.01
PETATAN,1,0.01
SAN GASPAR IXCHIL,1,0.01
CHICHE,1,0.01
PATZITE,1,0.01
SAN JUAN ATITAN,1,0.01
SAN JOSE CHACAYA,1,0.01
SAN MARCOS LA LAGUNA,1,0.01
SAN ANTONIO PALOPO,1,0.01
